#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
1,Half-Life 2,"Nov 16, 2004",9.99,N/A (N/A/96%),"10,000,000 .. 20,000,000",01:50 (01:06),Valve,Valve
3,Counter-Strike: Source,"Nov 1, 2004",9.99,N/A (N/A/88%),"10,000,000 .. 20,000,000",03:56 (02:08),Valve,Valve
21,Counter-Strike: Condition Zero,"Mar 1, 2004",9.99,N/A (N/A/65%),"10,000,000 .. 20,000,000",00:10 (00:03),Valve,Valve
47,Half-Life 2: Deathmatch,"Nov 1, 2004",4.99,N/A (N/A),"5,000,000 .. 10,000,000",00:00 (00:00),Valve,Valve
36,Half-Life: Source,"Jun 1, 2004",9.99,N/A (N/A),"2,000,000 .. 5,000,000",00:00 (00:00),Valve,Valve
52,CS2D,"Dec 24, 2004",Free,N/A (N/A),"1,000,000 .. 2,000,000",00:16 (00:10),Unreal Software,Unreal Software
2,Unreal Tournament 2004: Editor's Choice Edition,"Mar 16, 2004",14.99,N/A (N/A/93%),"500,000 .. 1,000,000",00:00 (00:00),"Epic Games, Inc.","Epic Games, Inc."
4,DOOM 3,"Aug 3, 2004",4.99,N/A (N/A/87%),"500,000 .. 1,000,000",00:00 (00:00),id Software,id Software
14,Beyond Divinity,"Apr 27, 2004",5.99,N/A (N/A/73%),"500,000 .. 1,000,000",00:00 (00:00),Larian Studios,Larian Studios
40,Hitman: Contracts,"Apr 20, 2004",8.99,N/A (N/A),"500,000 .. 1,000,000",00:00 (00:00),Io-Interactive A/S,Io-Interactive A/S
9,Gish,"May 4, 2004",9.99,N/A (N/A/80%),"200,000 .. 500,000",00:00 (00:00),Cryptic Sea,Chronic Logic
17,Neighbours from Hell Compilation,"Feb 20, 2004",9.99,N/A (N/A/69%),"200,000 .. 500,000",00:00 (00:00),JoWooD Vienna,THQ Nordic
43,"STAR WARS Battlefront (Classic, 2004)","Sep 21, 2004",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Pandemic Studios,"Lucasfilm, LucasArts, Disney"
49,Jagged Alliance 2 - Wildfire,"Mar 8, 2004",6.99,N/A (N/A),"200,000 .. 500,000",06:11 (04:30),I-deal Games,Topware Interactive
53,Painkiller: Black Edition,"Apr 12, 2004",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),People Can Fly,THQ Nordic
5,Silent Storm Gold Edition,"Sep 9, 2004",9.99,N/A (N/A/83%),"100,000 .. 200,000",00:00 (00:00),Nival,THQ Nordic
12,Soldiers: Heroes of World War II,"Jun 29, 2004",4.99,N/A (N/A/77%),"100,000 .. 200,000",00:00 (00:00),Best Way,1C Entertainment
18,Sherlock Holmes: The Silver Earring,"Sep 30, 2004",9.99,N/A (N/A/68%),"100,000 .. 200,000",00:00 (00:00),Frogwares,Frogwares
26,World War II: Panzer Claws,"Jan 14, 2004",4.99,N/A (N/A/61%),"100,000 .. 200,000",04:10 (03:01),NA,Topware Interactive
31,Marine Sharpshooter II: Jungle Warfare,"Jun 22, 2004",2.99,N/A (N/A/52%),"100,000 .. 200,000",00:00 (00:00),Jarhead Games,Funbox Media Ltd
34,SuperPower 2 Steam Edition,"Oct 11, 2004",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),GolemLabs,THQ Nordic
20,Dark Fall 2: Lights Out,"Aug 24, 2004",4.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),Darkling Room,THQ Nordic
24,Aura: Fate of the Ages,"Jun 24, 2004",4.99,N/A (N/A/63%),"50,000 .. 100,000",00:00 (00:00),Streko Graphics,THQ Nordic
39,Guilty Gear X2 #Reload,"Jul 23, 2004",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Arc System Works,Arc System Works
42,Platypus,"Jun 2, 2004",6.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Idigicon,KISS ltd
50,planetarian ~the reverie of a little planet~,"Nov 29, 2004",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),VisualArts/Key,Sekai Project
7,"Codename: Panzers, Phase One","Jun 16, 2004",14.99,N/A (N/A/81%),"20,000 .. 50,000",00:00 (00:00),"Stormregion, THQ Nordic",THQ Nordic
8,Kohan II: Kings of War,"Sep 21, 2004",9.99,N/A (N/A/81%),"20,000 .. 50,000",00:00 (00:00),TimeGate Studios,TimeGate Studios
10,Ground Control II: Operation Exodus,"Jun 18, 2004",4.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),Massive Entertainment,Rebellion
11,Perimeter,"May 21, 2004",3.99,N/A (N/A/77%),"20,000 .. 50,000",00:00 (00:00),K-D Lab,1C Entertainment
15,Warlords Battlecry III,"May 17, 2004",9.99,N/A (N/A/73%),"20,000 .. 50,000",00:00 (00:00),Infinite Interactive,"Retroism, Enlight Software Limited"
16,Men of Valor,"Nov 29, 2004",9.99,N/A (N/A/71%),"20,000 .. 50,000",00:00 (00:00),2015,THQ Nordic
25,Shadow Ops: Red Mercury,"Sep 17, 2004",6.99,N/A (N/A/61%),"20,000 .. 50,000",00:00 (00:00),Zombie Studios,Retroism
27,Wars and Warriors: Joan of Arc,"Feb 7, 2004",6.99,N/A (N/A/60%),"20,000 .. 50,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
32,Konung 2,"Nov 30, 2004",2.99,N/A (N/A/35%),"20,000 .. 50,000",00:00 (00:00),1C Entertainment,1C Entertainment
35,The Egyptian Prophecy: The Fate of Ramses,"Mar 29, 2004",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),MC2,Microids
37,Chris Sawyer's Locomotion,"Sep 10, 2004",5.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Chris Sawyer,Atari
44,Transport Giant,"Jun 8, 2004",9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),"Fancy Bytes, Reactor",Toplitz Productions
45,URU: Complete Chronicles,"Jul 7, 2004",9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Cyan Worlds,Cyan Worlds
48,Mashed,"Jun 25, 2004",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Supersonic Software,Strategy First
51,Kult: Heretic Kingdoms,"Nov 11, 2004",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Games Farm,Games Farm
6,Myst IV: Revelation,"Sep 10, 2004",14.99,N/A (N/A/82%),"0 .. 20,000",00:00 (00:00),Ubisoft Montreal,"Cyan Worlds, Ubisoft"
13,Nemesis of the Roman Empire,"Mar 17, 2004",9.99,N/A (N/A/74%),"0 .. 20,000",00:00 (00:00),Haemimont Games,"Retroism, Enlight Software Limited"
19,Nancy Drew: The Secret of Shadow Ranch,"Jun 1, 2004",9.99,N/A (N/A/68%),"0 .. 20,000",00:00 (00:00),HeR Interactive,HeR Interactive
22,Lords of the Realm III,"Mar 17, 2004",4.99,N/A (N/A/65%),"0 .. 20,000",00:00 (00:00),Impressions Games,Rebellion
23,Echelon: Wind Warriors,"Feb 3, 2004",3.99,N/A (N/A/63%),"0 .. 20,000",00:00 (00:00),MADia Entertainment,Buka Entertainment
28,Zoo Empire,"Aug 1, 2004",6.99,N/A (N/A/59%),"0 .. 20,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
29,Marine Park Empire,"Aug 1, 2004",6.99,N/A (N/A/58%),"0 .. 20,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
30,Fair Strike,"Feb 5, 2004",3.99,N/A (N/A/56%),"0 .. 20,000",00:00 (00:00),G5 Software,Buka Entertainment
33,KóterGame,"Jan 11, 2004",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Dzsembori,Dzsembori
38,I Misteri di Maggia,"Sep 27, 2004",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Stelex Software,Stelex Software
41,Casino Poker,"Apr 2, 2004",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),ThatGame Pty Ltd,Funbox Media Ltd
46,The Dark Legions,"Apr 1, 2004",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Mascot Entertainment,Mascot Entertainment
31,Half-Life 2: Lost Coast,"Oct 27, 2005",Free,N/A (N/A),"10,000,000 .. 20,000,000",00:00 (00:00),Valve,Valve
2,Grand Theft Auto: San Andreas,"Jun 6, 2005",14.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",06:13 (03:56),Rockstar Games,Rockstar Games
7,STAR WARS Knights of the Old Republic II - The Sith Lords,"Feb 8, 2005",9.99,N/A (N/A/85%),"2,000,000 .. 5,000,000",00:37 (00:12),"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)"
1,Sid Meier's Civilization IV,"Oct 25, 2005",19.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",00:00 (00:00),Firaxis Games,2K
17,Serious Sam 2,"Oct 11, 2005",9.99,N/A (N/A/74%),"1,000,000 .. 2,000,000",00:00 (00:00),Croteam,Devolver Digital
4,Sid Meier's Pirates!,"Jul 11, 2005",9.99,N/A (N/A/88%),"500,000 .. 1,000,000",00:00 (00:00),Firaxis Games,2K
9,Darwinia,"Jul 14, 2005",9.99,N/A (N/A/84%),"500,000 .. 1,000,000",00:00 (00:00),Introversion Software,Introversion Software
12,Dungeon Siege II,"Aug 16, 2005",6.99,N/A (N/A/80%),"500,000 .. 1,000,000",00:00 (00:00),Gas Powered Games,Square Enix
43,scram,"Sep 13, 2005",Free,N/A (N/A),"500,000 .. 1,000,000",00:00 (00:00),spleen,Colossus Interactive
53,Street Racing Syndicate,"Jan 8, 2005",2.99,N/A (N/A),"500,000 .. 1,000,000",00:00 (00:00),Eutechnyx,Funbox Media Ltd
3,Tom Clancy's Splinter Cell Chaos Theory,"Mar 29, 2005",9.99,N/A (N/A/92%),"200,000 .. 500,000",00:00 (00:00),Ubisoft Montreal,Ubisoft
6,Prince of Persia: The Two Thrones,"Dec 7, 2005",9.99,N/A (N/A/85%),"200,000 .. 500,000",00:00 (00:00),Ubisoft Montreal,Ubisoft
10,FATE,"May 18, 2005",7.99,N/A (N/A/80%),"200,000 .. 500,000",00:00 (00:00),WildTangent,WildTangent
19,The Bard's Tale,"Jun 17, 2005",9.99,N/A (N/A/70%),"200,000 .. 500,000",00:00 (00:00),inXile Entertainment,inXile Entertainment
24,Space Hack,"Nov 15, 2005",4.99,N/A (N/A/63%),"200,000 .. 500,000",00:00 (00:00),NA,Meridian4
5,Brothers in Arms: Road to Hill 30,"Mar 15, 2005",9.99,N/A (N/A/87%),"100,000 .. 200,000",00:00 (00:00),Gearbox Software,Ubisoft
8,Brothers in Arms: Earned in Blood,"Oct 4, 2005",9.99,N/A (N/A/84%),"100,000 .. 200,000",00:00 (00:00),Gearbox Software,Ubisoft
16,Blitzkrieg 2 Anthology,"Sep 23, 2005",4.99,N/A (N/A/75%),"100,000 .. 200,000",00:00 (00:00),Nival,Nival
18,Cossacks II: Napoleonic Wars,"Apr 26, 2005",4.99,N/A (N/A/73%),"100,000 .. 200,000",00:00 (00:00),GSC Game World,GSC World Publishing
21,Imperial Glory,"May 15, 2005",4.99,N/A (N/A/69%),"100,000 .. 200,000",00:00 (00:00),Pyro Studios,Kalypso Media Digital
32,Telltale Texas Hold ‘Em,"Feb 11, 2005",2.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Telltale Games,Telltale Games
36,RPG Maker XP,"Sep 16, 2005",24.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),KADOKAWA,Degica
38,CT Special Forces: Fire for Effect,"Mar 24, 2005",2.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"Asobo Studio, Hip Games",Funbox Media Ltd
13,Myst V: End of Ages,"Jul 19, 2005",9.99,N/A (N/A/80%),"50,000 .. 100,000",00:00 (00:00),Cyan Worlds,Cyan Worlds
14,Crazy Machines,"Oct 1, 2005",9.99,N/A (N/A/78%),"50,000 .. 100,000",00:00 (00:00),Fakt Software,Viva Media
25,Obscure,"Apr 6, 2005",6.99,N/A (N/A/63%),"50,000 .. 100,000",00:00 (00:00),Hydravision Entertainment,Mighty Rocket Studio
27,Bet On Soldier,"Sep 26, 2005",7.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Kylotonn,Microids
34,Hard Truck Apocalypse / Ex Machina,"Dec 8, 2005",7.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Targem Games,Buka Entertainment
46,Geneforge 3,"Apr 1, 2005",19.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
48,Voyage: Journey to the Moon,"Aug 16, 2005",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Microids,Microids
52,World War I,"Jun 17, 2005",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Dark Fox,1C Entertainment
54,rFactor,"Aug 31, 2005",24.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Image Space Incorporated,Image Space Incorporated
57,Sudeki,"Mar 25, 2005",5.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Climax Studios,Climax Group
58,UFO: Aftershock,"Oct 21, 2005",3.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),ALTAR Interactive,1C Entertainment
11,"Codename: Panzers, Phase Two","Jul 21, 2005",14.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),"Stormregion, THQ Nordic",THQ Nordic
20,The Moment of Silence,"Mar 1, 2005",14.99,N/A (N/A/70%),"20,000 .. 50,000",00:00 (00:00),House of Tales,HandyGames
22,Rag Doll Kung Fu,"Oct 12, 2005",9.99,N/A (N/A/69%),"20,000 .. 50,000",00:00 (00:00),Mark Healey,Mark Healey
23,Cold War,"Sep 27, 2005",4.99,N/A (N/A/64%),"20,000 .. 50,000",00:00 (00:00),Mindware Studios,THQ Nordic
29,Stalingrad,"Apr 5, 2005",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),DTF games,1C Entertainment
33,Cuban Missile Crisis: Ice Crusade,"Jul 29, 2005",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),G5 Software,1C Entertainment
49,Midnight Outlaw: 6 Hours to SunUp,"Jul 2, 2005",9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),"Merscom, Babylon","ValuSoft, Retroism"
50,Cuban Missile Crisis,"May 6, 2005",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),G5 Software,1C Entertainment
51,Desert Law,"Apr 29, 2005",2.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Arise,1C Entertainment
55,Dungeon Lords Steam Edition,"May 1, 2005",14.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Heuristic Park,THQ Nordic
56,Luxor 2,"Dec 8, 2005",9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),MumboJumbo,MumboJumbo
15,Crazy Machines 1.5,"Oct 1, 2005",9.99,N/A (N/A/78%),"0 .. 20,000",00:00 (00:00),Fakt Software,Viva Media
26,18 Wheels of Steel: Convoy,"Sep 1, 2005",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),SCS Software,"Valusoft, Play Hard Games"
28,Fish Tycoon,"Nov 14, 2005",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Last Day of Work,Last Day of Work
30,Luxor Amun Rising,"Dec 8, 2005",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),MumboJumbo,MumboJumbo
35,Wildlife Tycoon: Venture Africa,"Oct 1, 2005",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Pocketwatch Games,Pocketwatch Games
37,Deadhunt,"Mar 28, 2005",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),REL Games,REL Games
39,Mystery Case Files: Huntsville,"Jan 1, 2005",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Big Fish Games,Big Fish Games
40,Operation: Matriarchy,"Nov 20, 2005",5.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Madia Entertainment,Buka Entertainment
41,Disney's Chicken Little,"Oct 20, 2005",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Avalanche Software,Disney Interactive
42,Cotropitorii,"Nov 15, 2005",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Alexandru Duta, Victor E. Blaga",2 Bad Design
44,Massive Assault: Phantom Renaissance,"Mar 3, 2005",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Wargaming.net,Wargaming.net
45,Vulture for NetHack,"Feb 1, 2005",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),DarkArts Studios,DarkArts Studios
47,Ankh - Anniversary Edition,"Nov 4, 2005",7.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Deck13,Deck13
98,Half-Life Deathmatch: Source,"May 1, 2006",9.99,N/A (N/A),"10,000,000 .. 20,000,000",00:00 (00:00),Valve,Valve
105,Garry's Mod,"Nov 29, 2006",9.99,N/A (N/A),"10,000,000 .. 20,000,000",10:26 (04:14),Facepunch Studios,Valve
5,Half-Life 2: Episode One,"Jun 1, 2006",7.99,N/A (N/A/87%),"5,000,000 .. 10,000,000",00:12 (00:04),Valve,Valve
3,Psychonauts,"Oct 11, 2006",9.99,N/A (N/A/87%),"2,000,000 .. 5,000,000",00:00 (00:00),Double Fine Productions,Double Fine Productions
59,Toribash,"Mar 1, 2006",Free,N/A (N/A),"2,000,000 .. 5,000,000",00:00 (00:00),Nabi Studios,"Nicalis, Inc."
71,Total War: MEDIEVAL II – Definitive Edition,"Nov 15, 2006",24.99,N/A (N/A),"2,000,000 .. 5,000,000",01:12 (00:53),"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
10,Civilization IV: Warlords,"Jul 24, 2006",4.99,N/A (N/A/84%),"1,000,000 .. 2,000,000",00:00 (00:00),Firaxis Games,2K
23,The Ship: Murder Party,"Jul 11, 2006",9.99,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:00 (00:00),Outerlight Ltd.,Blazing Griffin Ltd.
32,Dark Messiah of Might & Magic,"Oct 25, 2006",9.99,N/A (N/A/72%),"1,000,000 .. 2,000,000",00:00 (00:00),Arkane Studios,Ubisoft
81,Microsoft Flight Simulator X: Steam Edition,"Oct 16, 2006",24.99,N/A (N/A),"1,000,000 .. 2,000,000",09:13 (03:04),Microsoft Game Studios,Dovetail Games - Flight
91,Easy eSports,"Sep 19, 2006",Free,N/A (N/A),"1,000,000 .. 2,000,000",05:42 (03:47),EasyAntiCheat Ltd,EasyAntiCheat Ltd
1,Company of Heroes,"Sep 11, 2006",19.99,N/A (N/A/93%),"500,000 .. 1,000,000",00:00 (00:00),Relic Entertainment,SEGA
11,DEFCON,"Sep 29, 2006",9.99,N/A (N/A/84%),"500,000 .. 1,000,000",00:00 (00:00),Introversion Software,Introversion Software
15,Red Orchestra: Ostfront 41-45,"Mar 14, 2006",2.49,N/A (N/A/81%),"500,000 .. 1,000,000",00:00 (00:00),Tripwire Interactive,Tripwire Interactive
20,Sid Meier's Railroads!,"Oct 16, 2006",9.99,N/A (N/A/77%),"500,000 .. 1,000,000",00:00 (00:00),"Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)"
22,FlatOut 2,"Dec 21, 2006",9.99,N/A (N/A/76%),"500,000 .. 1,000,000",00:00 (00:00),Bugbear Entertainment,Strategy First
26,Uplink,"Aug 23, 2006",9.99,N/A (N/A/75%),"500,000 .. 1,000,000",00:00 (00:00),Introversion Software,Introversion Software
27,Shadowgrounds,"May 8, 2006",1.04,N/A (N/A/74%),"500,000 .. 1,000,000",00:00 (00:00),Frozenbyte,Frozenbyte
2,Call of Duty,"Oct 13, 2006",19.99,N/A (N/A/91%),"200,000 .. 500,000",00:00 (00:00),Infinity Ward,Activision
4,Call of Duty: United Offensive,"Oct 13, 2006",19.99,N/A (N/A/87%),"200,000 .. 500,000",00:00 (00:00),Gray Matter Studios,Activision
6,Call of Duty 2,"Oct 13, 2006",19.99,N/A (N/A/86%),"200,000 .. 500,000",00:00 (00:00),Infinity Ward,Activision
7,Tom Clancy's Rainbow Six Vegas,"Dec 12, 2006",9.99,N/A (N/A/85%),"200,000 .. 500,000",00:00 (00:00),Ubisoft Montreal,Ubisoft
17,Tom Clancy's Splinter Cell Double Agent,"Oct 19, 2006",9.99,N/A (N/A/80%),"200,000 .. 500,000",00:00 (00:00),Ubisoft Montreal,Ubisoft
25,SiN Episodes: Emergence,"May 10, 2006",9.99,N/A (N/A/75%),"200,000 .. 500,000",00:00 (00:00),Ritual Entertainment,Ritual Entertainment
29,Earth 2160,"Apr 1, 2006",4.99,N/A (N/A/73%),"200,000 .. 500,000",07:10 (04:47),Reality Pump Studios,"Topware Interactive, ACE"
33,X2: The Threat,"Jul 21, 2006",4.99,N/A (N/A/72%),"200,000 .. 500,000",00:00 (00:00),Egosoft,Egosoft
34,X3: Reunion,"Jul 21, 2006",9.99,N/A (N/A/71%),"200,000 .. 500,000",00:00 (00:00),Egosoft,Egosoft
65,High On Racing,"Jun 4, 2006",4.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),SilentFuture,SilentFuture
112,RACE - The WTCC Game,"Nov 24, 2006",39.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),SimBin,SimBin
9,Disciples II: Gallean's Return,"Jul 6, 2006",6.99,N/A (N/A/84%),"100,000 .. 200,000",00:00 (00:00),Strategy First,Strategy First
14,Ghost Master,"Dec 21, 2006",4.99,N/A (N/A/81%),"100,000 .. 200,000",00:00 (00:00),Sick Puppies,Strategy First
24,GUN,"Oct 13, 2006",19.99,N/A (N/A/76%),"100,000 .. 200,000",00:00 (00:00),Neversoft,Activision
28,Caesar IV,"Sep 9, 2006",9.99,N/A (N/A/74%),"100,000 .. 200,000",00:00 (00:00),"Tilted Mill Entertainment, Inc.",Activision
48,Tom Clancy's Rainbow Six Lockdown,"Feb 14, 2006",9.99,N/A (N/A/59%),"100,000 .. 200,000",00:00 (00:00),Red Storm Entertainment,Ubisoft
63,Feeding Frenzy 2 Deluxe,"Aug 30, 2006",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"PopCap Games, Inc.","PopCap Games, Inc."
67,Wildlife Park 2,"May 12, 2006",6.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),b-alive gmbh,b-alive gmbh
75,Zuma Deluxe,"Aug 30, 2006",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"PopCap Games, Inc.","PopCap Games, Inc."
76,Scratches - Director's Cut,"Mar 8, 2006",N/A,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Nucleosys,Nucleosys
77,King's Quest Collection,"Sep 1, 2006",19.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Sierra,Activision
106,Insaniquarium Deluxe,"Aug 30, 2006",4.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"PopCap Games, Inc.","PopCap Games, Inc."
108,Nux,"Dec 26, 2006",6.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Idigicon,KISS ltd
13,Dangerous Waters,"Feb 7, 2006",14.99,N/A (N/A/82%),"50,000 .. 100,000",00:00 (00:00),Sonalysts,Strategy First
18,Disciples II: Rise of the Elves,"Jul 6, 2006",6.99,N/A (N/A/80%),"50,000 .. 100,000",00:00 (00:00),Strategy First,Strategy First
19,Space Empires IV Deluxe,"Feb 7, 2006",9.99,N/A (N/A/79%),"50,000 .. 100,000",00:00 (00:00),Malfador Machinations,Strategy First
37,Advent Rising,"Sep 14, 2006",9.99,N/A (N/A/70%),"50,000 .. 100,000",00:00 (00:00),GlyphX Games,Majesco Entertainment
38,Rogue Trooper,"May 23, 2006",9.99,N/A (N/A/69%),"50,000 .. 100,000",00:00 (00:00),Rebellion,Rebellion
39,Gumboy - Crazy Adventures,"Dec 19, 2006",4.99,N/A (N/A/69%),"50,000 .. 100,000",00:00 (00:00),"CINEMAX, s.r.o.","CINEMAX, s.r.o."
40,Marc Eckō's Getting Up: Contents Under Pressure,"Feb 14, 2006",14.99,N/A (N/A/69%),"50,000 .. 100,000",00:00 (00:00),"The Collective, General Arcade",Devolver Digital
41,Space Empires V,"Oct 16, 2006",14.99,N/A (N/A/68%),"50,000 .. 100,000",00:00 (00:00),Malfador Machinations,Strategy First
43,BloodRayne 2,"Sep 14, 2006",9.99,N/A (N/A/67%),"50,000 .. 100,000",00:00 (00:00),Terminal Reality,Majesco Entertainment
45,Heroes of Annihilated Empires,"Nov 22, 2006",14.99,N/A (N/A/65%),"50,000 .. 100,000",00:00 (00:00),GSC Game World,GSC Game World
46,BloodRayne,"Sep 14, 2006",9.99,N/A (N/A/65%),"50,000 .. 100,000",00:00 (00:00),Terminal Reality,Majesco Entertainment
55,The Ship: Single Player,"Nov 20, 2006",N/A,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Outerlight Ltd.,Blazing Griffin Ltd.
60,Guilty Gear Isuka,"Jun 20, 2006",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Arc System Works,Arc System Works
68,Fleet Command,"Oct 26, 2006",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Sonalysts,Strategy First
69,688(I) Hunter/Killer,"Oct 26, 2006",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Sonalysts,Strategy First
73,The Stalin Subway: Red Veil,"Oct 5, 2006",2.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Orion Games,Buka Entertainment
82,Bejeweled 2 Deluxe,"Aug 30, 2006",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),"PopCap Games, Inc.","PopCap Games, Inc."
83,Broken Sword 4 - the Angel of Death,"Sep 15, 2006",5.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Sumo Digital Ltd,Revolution Software Ltd
89,Geneforge 4: Rebellion,"Nov 1, 2006",19.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
92,Chuzzle Deluxe,"Aug 30, 2006",4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),"PopCap Games, Inc.","PopCap Games, Inc."
8,Sub Command,"Oct 26, 2006",9.99,N/A (N/A/84%),"20,000 .. 50,000",00:00 (00:00),Sonalysts,Strategy First
12,Xpand Rally,"Aug 24, 2006",4.99,N/A (N/A/82%),"20,000 .. 50,000",00:00 (00:00),Techland,Techland
16,RoboBlitz,"Nov 7, 2006",9.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),Naked Sky Entertainment,Naked Sky Entertainment
30,Disney•Pixar Cars,"Jul 6, 2006",19.99,N/A (N/A/73%),"20,000 .. 50,000",00:00 (00:00),Beenox,"THQ, Disney Interactive"
31,Perimeter: Emperor's Testament,"Aug 29, 2006",3.99,N/A (N/A/72%),"20,000 .. 50,000",00:00 (00:00),K-D Lab,1C Entertainment
36,MX vs. ATV Unleashed,"Jan 16, 2006",9.99,N/A (N/A/71%),"20,000 .. 50,000",00:00 (00:00),Rainbow Studios,THQ Nordic
42,Faces of War,"Sep 8, 2006",4.99,N/A (N/A/67%),"20,000 .. 50,000",00:00 (00:00),Best Way,1C Entertainment
44,Shattered Union,"Oct 25, 2006",4.99,N/A (N/A/67%),"20,000 .. 50,000",00:00 (00:00),PopTop,2K
49,Iron Warriors: T - 72 Tank Command,"Jul 26, 2006",4.99,N/A (N/A/56%),"20,000 .. 50,000",00:00 (00:00),Strategy First,Strategy First
50,El Matador,"Sep 25, 2006",3.99,N/A (N/A/54%),"20,000 .. 50,000",00:00 (00:00),Plastic Reality Technologies,1C Entertainment
