#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
8657,Ancient Battle: Hannibal,"Dec 7, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),HexWar Games,HexWar Games
8658,RideOp - Thrill Ride Simulator,"Oct 18, 2018",8.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),GuraShop,GuraShop
8659,Slime Quest,"Oct 4, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),CasGames,CasGames
8660,Of Gods and Men: The Daybreak Empire,"Nov 9, 2018",7.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Dead Genre Studios,Dead Genre Studios
8661,VOICEACTRESSⅡ,"Apr 3, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Dieselmine,Dieselmine
8662,Kenshō,"Jan 31, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),FIFTYTWO,FIFTYTWO
8663,Fasaria World: Ancients of Moons,"Jul 19, 2018",19.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Fasaria Works,U Game Me
8664,Pylow,"Jul 31, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Codev Games,Codev Games
8665,Ancient Code VR( The Fantasy Egypt Journey),"Jan 31, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Edougame,Edougame
8666,Forklift Simulator 2019,"Nov 23, 2018",19.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Blind Squirrel Games,Blind Squirrel Entertainment Inc.
8667,Asdivine Hearts II,"Dec 18, 2018",12.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Exe Create Inc.,KEMCO
8668,Frio2 - Memory of my sister,"Mar 15, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),zoocros,zoocros
8669,A Killer's Sorrow,"Oct 24, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),ThatSonicGamer,ThatSonicGamer
8670,Wall Street Junior,"Sep 12, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),WSJ Team,WSJ Team
8671,Chronon,"Oct 2, 2018",10.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),HronosGame,HronosGame
8672,Hentai Weed PuZZles,"Sep 13, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Nikita ""Ghost_RUS""",Ghost_RUS Games
8673,ELECTRONIC STOCK TRADING SYSTEM,"Aug 4, 2018",19.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),ESTS SYSTEMS,B. PRODUCTIONS
8675,Defenders of Ekron - Definitive Edition,"Aug 7, 2018",14.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),In Vitro Games,In Vitro Games
8676,I'm an adventurer,"Oct 23, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),CHOU CHENG LU,CHOU CHENG LU
8677,Beyond The Heavens,"Jul 2, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Zane Games,Zane Games
8678,The Last Tower,"Mar 28, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Salsawi,Salsawi Games
8679,Alpha/Omega: The Christian RPG,"May 10, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),BUD Games,BUD Games
